"Start - Motor Vehicle Quiz with Animation","28/09/2002","15:34:21"
"Finish - Motor Vehicle Quiz with Animation","28/09/2002","15:34:33",0,0
"Start - Motor Vehicle Quiz with Animation","28/09/2002","15:41:23"
"Finish - Motor Vehicle Quiz with Animation","28/09/2002","15:41:53",0,0
"Start - Motor Vehicle Quiz with Animation","28/09/2002","15:42:11"
"Finish - Motor Vehicle Quiz with Animation","28/09/2002","15:42:33",0,0
"Start - Motor Vehicle Quiz with Animation","28/09/2002","15:46:05"
"Finish - Motor Vehicle Quiz with Animation","28/09/2002","15:46:27",0,0
"Start - Motor Vehicle Quiz with Animation","09/05/2003","13:08:33"
"Finish - Motor Vehicle Quiz with Animation","09/05/2003","13:09:58",0,0
"Start - Motor Vehicle Quiz with Animation","09/05/2003","13:10:30"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","13:15:03"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","13:16:57"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","13:24:13"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","13:27:05"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","13:29:58"
"Finish - Motor Vehicle Quiz with Animation","09/05/2003","13:30:25",0,0
"Start - Motor Vehicle Quiz with Animation","09/05/2003","13:31:57"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","15:57:59"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:07:47"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:08:19"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:10:10"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:12:47"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:13:05"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:14:44"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:18:19"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:18:53"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:20:33"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:23:35"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:27:37"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:28:39"
"Finish - Motor Vehicle Quiz with Animation","09/05/2003","16:29:04",0,1
"Start - Motor Vehicle Quiz with Animation","09/05/2003","16:32:51"
"Finish - Motor Vehicle Quiz with Animation","09/05/2003","16:33:51",1,3
"Start - Motor Vehicle Quiz with Animation","09/05/2003","18:54:15"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","18:54:56"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","18:55:44"
"Finish - Motor Vehicle Quiz with Animation","09/05/2003","18:55:55",0,0
"Start - Motor Vehicle Quiz with Animation","09/05/2003","23:04:20"
"Finish - Motor Vehicle Quiz with Animation","09/05/2003","23:07:10",2,2
"Start - Motor Vehicle Quiz with Animation","09/05/2003","23:19:25"
"Start - Motor Vehicle Quiz with Animation","09/05/2003","23:20:41"
"Finish - Motor Vehicle Quiz with Animation","09/05/2003","23:22:30",0,2
"Start - Motor Vehicle Quiz with Animation","10/05/2003","09:12:29"
"Start - Motor Vehicle Quiz with Animation","10/05/2003","09:14:57"
"Start - Motor Vehicle Quiz with Animation","10/05/2003","09:19:03"
"Start - Motor Vehicle Quiz with Animation","10/05/2003","09:19:58"
"Finish - Motor Vehicle Quiz with Animation","10/05/2003","09:23:04",0,1
"Start - Motor Vehicle Quiz with Animation","10/05/2003","12:36:36"
"Finish - Motor Vehicle Quiz with Animation","10/05/2003","12:37:09",0,0
"Start - Motor Vehicle Quiz with Animation","10/05/2003","12:43:31"
